date,OT,STD,Number of Observations
1762/11/1 0:00,129.7,-1,-1
1762/12/1 0:00,128.7,-1,-1
1763/1/1 0:00,94.2,-1,-1
1763/2/1 0:00,53.2,-1,-1
1763/3/1 0:00,57,-1,-1
1763/4/1 0:00,54.8,-1,-1
1763/5/1 0:00,54.5,-1,-1
1763/6/1 0:00,59.7,-1,-1
1763/7/1 0:00,90.3,-1,-1
1763/8/1 0:00,44.2,-1,-1
1763/9/1 0:00,113.5,-1,-1
1763/10/1 0:00,77.2,-1,-1
1763/11/1 0:00,101.5,-1,-1
1763/12/1 0:00,102.3,-1,-1
1764/1/1 0:00,99.5,-1,-1
1764/2/1 0:00,99.5,-1,-1
1764/3/1 0:00,67,-1,-1
1764/4/1 0:00,57.3,-1,-1
1764/5/1 0:00,73.8,-1,-1
1764/6/1 0:00,50,-1,-1
1764/7/1 0:00,50,-1,-1
1764/8/1 0:00,50,-1,-1
1764/9/1 0:00,47,-1,-1
1764/10/1 0:00,46.7,-1,-1
1764/11/1 0:00,43.3,-1,-1
1764/12/1 0:00,42.8,-1,-1
1765/1/1 0:00,40,-1,-1
1765/2/1 0:00,43.3,-1,-1
1765/3/1 0:00,41.7,-1,-1
1765/4/1 0:00,36.7,-1,-1
1765/5/1 0:00,33.7,-1,-1
1765/6/1 0:00,33.3,-1,-1
1765/7/1 0:00,45,-1,-1
1765/8/1 0:00,49.5,-1,-1
1765/9/1 0:00,26.7,-1,-1
1765/10/1 0:00,23.3,-1,-1
1765/11/1 0:00,23.3,-1,-1
1765/12/1 0:00,21.7,-1,-1
1766/1/1 0:00,20,-1,-1
1766/2/1 0:00,18.3,-1,-1
1766/3/1 0:00,61,-1,-1
1766/4/1 0:00,10,-1,-1
1766/5/1 0:00,44.7,-1,-1
1766/6/1 0:00,5,-1,-1
1766/7/1 0:00,5.5,-1,-1
1766/8/1 0:00,6.7,-1,-1
1766/9/1 0:00,7.2,-1,-1
1766/10/1 0:00,8.3,-1,-1
1766/11/1 0:00,9.5,-1,-1
1766/12/1 0:00,32,-1,-1
1767/1/1 0:00,45.7,-1,-1
1767/2/1 0:00,50,-1,-1
1767/3/1 0:00,71.7,-1,-1
1767/4/1 0:00,54.8,-1,-1
1767/5/1 0:00,49.7,-1,-1
1767/6/1 0:00,55.5,-1,-1
1767/7/1 0:00,36.5,-1,-1
1767/8/1 0:00,68,-1,-1
1767/9/1 0:00,71.2,-1,-1
1767/10/1 0:00,73.5,-1,-1
1767/11/1 0:00,91.2,-1,-1
1767/12/1 0:00,88.8,-1,-1
1768/1/1 0:00,89.2,-1,-1
1768/2/1 0:00,110.2,-1,-1
1768/3/1 0:00,77.2,-1,-1
1768/4/1 0:00,71.2,-1,-1
1768/5/1 0:00,129.5,-1,-1
1768/6/1 0:00,129,-1,-1
1768/7/1 0:00,87.7,-1,-1
1768/8/1 0:00,111.3,-1,-1
1768/9/1 0:00,124.7,-1,-1
1768/10/1 0:00,129.7,-1,-1
1768/11/1 0:00,151,-1,-1
1768/12/1 0:00,186.3,-1,-1
1769/1/1 0:00,123.2,-1,-1
1769/2/1 0:00,107,-1,-1
1769/3/1 0:00,107.2,-1,-1
1769/4/1 0:00,161.2,-1,-1
1769/5/1 0:00,122.7,-1,-1
1769/6/1 0:00,157.3,-1,-1
1769/7/1 0:00,197.7,-1,-1
1769/8/1 0:00,200.5,-1,-1
1769/9/1 0:00,248,-1,-1
1769/10/1 0:00,263.7,-1,-1
1769/11/1 0:00,246.8,-1,-1
1769/12/1 0:00,186.7,-1,-1
1770/1/1 0:00,173.3,-1,-1
1770/2/1 0:00,237.5,-1,-1
1770/3/1 0:00,133.5,-1,-1
1770/4/1 0:00,85,-1,-1
1770/5/1 0:00,116.8,-1,-1
1770/6/1 0:00,138.8,-1,-1
1770/7/1 0:00,183,-1,-1
1770/8/1 0:00,210.5,-1,-1
1770/9/1 0:00,174,-1,-1
1770/10/1 0:00,172.7,-1,-1
1770/11/1 0:00,220.3,-1,-1
1770/12/1 0:00,170.5,-1,-1
1771/1/1 0:00,60,-1,-1
1771/2/1 0:00,77,-1,-1
1771/3/1 0:00,77.8,-1,-1
1771/4/1 0:00,108.2,-1,-1
1771/5/1 0:00,254.5,-1,-1
1771/6/1 0:00,199.2,-1,-1
1771/7/1 0:00,112.8,-1,-1
1771/8/1 0:00,97.5,-1,-1
1771/9/1 0:00,169,-1,-1
1771/10/1 0:00,150,-1,-1
1771/11/1 0:00,166.2,-1,-1
1771/12/1 0:00,159.5,-1,-1
1772/1/1 0:00,168.2,-1,-1
1772/2/1 0:00,151.3,-1,-1
1772/3/1 0:00,51.8,-1,-1
1772/4/1 0:00,153.7,-1,-1
1772/5/1 0:00,63.3,-1,-1
1772/6/1 0:00,95,-1,-1
1772/7/1 0:00,128.8,-1,-1
1772/8/1 0:00,93.7,-1,-1
1772/9/1 0:00,84.2,-1,-1
1772/10/1 0:00,131,-1,-1
1772/11/1 0:00,102.2,-1,-1
1772/12/1 0:00,106.7,-1,-1
1773/1/1 0:00,91,-1,-1
1773/2/1 0:00,48.3,-1,-1
1773/3/1 0:00,85.3,-1,-1
1773/4/1 0:00,54.8,-1,-1
1773/5/1 0:00,68.5,-1,-1
1773/6/1 0:00,47.3,-1,-1
1773/7/1 0:00,46.2,-1,-1
1773/8/1 0:00,21.2,-1,-1
1773/9/1 0:00,48.8,-1,-1
1773/10/1 0:00,43.8,-1,-1
1773/11/1 0:00,68.2,-1,-1
1773/12/1 0:00,72,-1,-1
1774/1/1 0:00,78,-1,-1
1774/2/1 0:00,109,-1,-1
1774/3/1 0:00,92.8,-1,-1
1774/4/1 0:00,73,-1,-1
1774/5/1 0:00,85.5,-1,-1
1774/6/1 0:00,47.5,-1,-1
1774/7/1 0:00,29.2,-1,-1
1774/8/1 0:00,11,-1,-1
1774/9/1 0:00,13.2,-1,-1
1774/10/1 0:00,23.3,-1,-1
1774/11/1 0:00,29.5,-1,-1
1774/12/1 0:00,20.3,-1,-1
1775/1/1 0:00,7.3,-1,-1
1775/2/1 0:00,0,-1,-1
1775/3/1 0:00,19.3,-1,-1
1775/4/1 0:00,18.7,-1,-1
1775/5/1 0:00,6.5,-1,-1
1775/6/1 0:00,20.5,-1,-1
1775/7/1 0:00,1.7,-1,-1
1775/8/1 0:00,13.2,-1,-1
1775/9/1 0:00,5.3,-1,-1
1775/10/1 0:00,9.3,-1,-1
1775/11/1 0:00,25.2,-1,-1
1775/12/1 0:00,13.2,-1,-1
1776/1/1 0:00,36.2,-1,-1
1776/2/1 0:00,19.3,-1,-1
1776/3/1 0:00,10.5,-1,-1
1776/4/1 0:00,36.3,-1,-1
1776/5/1 0:00,18.7,-1,-1
1776/6/1 0:00,31.7,-1,-1
1776/7/1 0:00,1.7,-1,-1
1776/8/1 0:00,40.3,-1,-1
1776/9/1 0:00,26.7,-1,-1
1776/10/1 0:00,50,-1,-1
1776/11/1 0:00,58.3,-1,-1
1776/12/1 0:00,66.7,-1,-1
1777/1/1 0:00,75,-1,-1
1777/2/1 0:00,60.8,-1,-1
1777/3/1 0:00,65,-1,-1
1777/4/1 0:00,159.2,-1,-1
1777/5/1 0:00,133.8,-1,-1
1777/6/1 0:00,134.5,-1,-1
1777/7/1 0:00,158.3,-1,-1
1777/8/1 0:00,186.7,-1,-1
1777/9/1 0:00,193.7,-1,-1
1777/10/1 0:00,177.5,-1,-1
1777/11/1 0:00,243.3,-1,-1
1777/12/1 0:00,262.2,-1,-1
1778/1/1 0:00,295.5,-1,-1
1778/2/1 0:00,182.2,-1,-1
1778/3/1 0:00,223.3,-1,-1
1778/4/1 0:00,241.7,-1,-1
1778/5/1 0:00,398.2,-1,-1
1778/6/1 0:00,286,-1,-1
1778/7/1 0:00,255,-1,-1
1778/8/1 0:00,233.3,-1,-1
1778/9/1 0:00,286.2,-1,-1
1778/10/1 0:00,260.5,-1,-1
1778/11/1 0:00,250.5,-1,-1
1778/12/1 0:00,175,-1,-1
1779/1/1 0:00,191.2,-1,-1
1779/2/1 0:00,276.2,-1,-1
1779/3/1 0:00,196.7,-1,-1
1779/4/1 0:00,241.7,-1,-1
1779/5/1 0:00,233.3,-1,-1
1779/6/1 0:00,189.5,-1,-1
1779/7/1 0:00,238.3,-1,-1
1779/8/1 0:00,186.7,-1,-1
1779/9/1 0:00,185,-1,-1
1779/10/1 0:00,206.7,-1,-1
1779/11/1 0:00,190,-1,-1
1779/12/1 0:00,183.3,-1,-1
1780/1/1 0:00,116.7,-1,-1
1780/2/1 0:00,163.3,-1,-1
1780/3/1 0:00,163.3,-1,-1
1780/4/1 0:00,158.3,-1,-1
1780/5/1 0:00,178.7,-1,-1
1780/6/1 0:00,146.7,-1,-1
1780/7/1 0:00,143.3,-1,-1
1780/8/1 0:00,143.3,-1,-1
1780/9/1 0:00,156.2,-1,-1
1780/10/1 0:00,128.3,-1,-1
1780/11/1 0:00,100,-1,-1
1780/12/1 0:00,97.8,-1,-1
1781/1/1 0:00,164.5,-1,-1
1781/2/1 0:00,124.5,-1,-1
1781/3/1 0:00,88.3,-1,-1
1781/4/1 0:00,113.8,-1,-1
1781/5/1 0:00,174.5,-1,-1
1781/6/1 0:00,162.8,-1,-1
1781/7/1 0:00,122.5,-1,-1
1781/8/1 0:00,110,-1,-1
1781/9/1 0:00,85,-1,-1
1781/10/1 0:00,45.5,-1,-1
1781/11/1 0:00,111.7,-1,-1
1781/12/1 0:00,58.7,-1,-1
1782/1/1 0:00,90,-1,-1
1782/2/1 0:00,62.5,-1,-1
1782/3/1 0:00,61.7,-1,-1
1782/4/1 0:00,68.3,-1,-1
1782/5/1 0:00,90.5,-1,-1
1782/6/1 0:00,63.3,-1,-1
1782/7/1 0:00,61.7,-1,-1
1782/8/1 0:00,73.3,-1,-1
1782/9/1 0:00,56.7,-1,-1
1782/10/1 0:00,38.7,-1,-1
1782/11/1 0:00,52.5,-1,-1
1782/12/1 0:00,50,-1,-1
1783/1/1 0:00,46.7,-1,-1
1783/2/1 0:00,64.5,-1,-1
1783/3/1 0:00,44.5,-1,-1
1783/4/1 0:00,47.2,-1,-1
1783/5/1 0:00,38.3,-1,-1
1783/6/1 0:00,42,-1,-1
1783/7/1 0:00,53.7,-1,-1
1783/8/1 0:00,33.3,-1,-1
1783/9/1 0:00,30,-1,-1
1783/10/1 0:00,13.3,-1,-1
1783/11/1 0:00,25,-1,-1
1783/12/1 0:00,17.5,-1,-1
1784/1/1 0:00,21.7,-1,-1
1784/2/1 0:00,13.3,-1,-1
1784/3/1 0:00,18.3,-1,-1
1784/4/1 0:00,16.7,-1,-1
1784/5/1 0:00,10,-1,-1
1784/6/1 0:00,15,-1,-1
1784/7/1 0:00,10,-1,-1
1784/8/1 0:00,16.7,-1,-1
1784/9/1 0:00,16.7,-1,-1
1784/10/1 0:00,13.3,-1,-1
1784/11/1 0:00,28.3,-1,-1
1784/12/1 0:00,23.3,-1,-1
1785/1/1 0:00,10.8,-1,-1
1785/2/1 0:00,13.3,-1,-1
1785/3/1 0:00,15,-1,-1
1785/4/1 0:00,26.2,-1,-1
1785/5/1 0:00,34.5,-1,-1
1785/6/1 0:00,43.8,-1,-1
1785/7/1 0:00,60.5,-1,-1
1785/8/1 0:00,33.3,-1,-1
1785/9/1 0:00,53.3,-1,-1
1785/10/1 0:00,78.7,-1,-1
1785/11/1 0:00,67,-1,-1
1785/12/1 0:00,45.5,-1,-1
1786/1/1 0:00,62,-1,-1
1786/2/1 0:00,79.3,-1,-1
1786/3/1 0:00,79.5,-1,-1
1786/4/1 0:00,142.3,-1,-1
1786/5/1 0:00,153.8,-1,-1
1786/6/1 0:00,98.3,-1,-1
1786/7/1 0:00,138.3,-1,-1
1786/8/1 0:00,149.5,-1,-1
1786/9/1 0:00,185.8,-1,-1
1786/10/1 0:00,187.2,-1,-1
1786/11/1 0:00,193.3,-1,-1
1786/12/1 0:00,187.8,-1,-1
1787/1/1 0:00,224.5,-1,-1
1787/2/1 0:00,176.7,-1,-1
1787/3/1 0:00,145.7,-1,-1
1787/4/1 0:00,212,-1,-1
1787/5/1 0:00,224.7,-1,-1
1787/6/1 0:00,165.3,-1,-1
1787/7/1 0:00,213.3,-1,-1
1787/8/1 0:00,228.7,-1,-1
1787/9/1 0:00,262.2,-1,-1
1787/10/1 0:00,261.7,-1,-1
1787/11/1 0:00,235.8,-1,-1
1787/12/1 0:00,290,-1,-1
1788/1/1 0:00,230,-1,-1
1788/2/1 0:00,215.3,-1,-1
1788/3/1 0:00,238.8,-1,-1
1788/4/1 0:00,180.8,-1,-1
1788/5/1 0:00,188.3,-1,-1
1788/6/1 0:00,257,-1,-1
1788/7/1 0:00,235.8,-1,-1
1788/8/1 0:00,226.7,-1,-1
1788/9/1 0:00,235,-1,-1
1788/10/1 0:00,236.7,-1,-1
1788/11/1 0:00,157.8,-1,-1
1788/12/1 0:00,215.8,-1,-1
1789/1/1 0:00,190,-1,-1
1789/2/1 0:00,208.8,-1,-1
1789/3/1 0:00,200,-1,-1
1789/4/1 0:00,205.5,-1,-1
1789/5/1 0:00,205.8,-1,-1
1789/6/1 0:00,200,-1,-1
1789/7/1 0:00,195,-1,-1
1789/8/1 0:00,171.7,-1,-1
1789/9/1 0:00,186.7,-1,-1
1789/10/1 0:00,149.5,-1,-1
1789/11/1 0:00,223.3,-1,-1
1789/12/1 0:00,225.8,-1,-1
1790/1/1 0:00,171.7,-1,-1
1790/2/1 0:00,212.5,-1,-1
1790/3/1 0:00,160.5,-1,-1
1790/4/1 0:00,156.7,-1,-1
1790/5/1 0:00,155,-1,-1
1790/6/1 0:00,151.7,-1,-1
1790/7/1 0:00,115.5,-1,-1
1790/8/1 0:00,145,-1,-1
1790/9/1 0:00,128.8,-1,-1
1790/10/1 0:00,140.5,-1,-1
1790/11/1 0:00,136.7,-1,-1
1790/12/1 0:00,123.3,-1,-1
1791/1/1 0:00,121.2,-1,-1
1791/2/1 0:00,103.3,-1,-1
1791/3/1 0:00,123.3,-1,-1
1791/4/1 0:00,128.7,-1,-1
1791/5/1 0:00,122.8,-1,-1
1791/6/1 0:00,107,-1,-1
1791/7/1 0:00,118.3,-1,-1
1791/8/1 0:00,71.7,-1,-1
1791/9/1 0:00,110.8,-1,-1
1791/10/1 0:00,102.8,-1,-1
1791/11/1 0:00,111.7,-1,-1
1791/12/1 0:00,110,-1,-1
1792/1/1 0:00,96.7,-1,-1
1792/2/1 0:00,106.7,-1,-1
1792/3/1 0:00,105,-1,-1
1792/4/1 0:00,126.2,-1,-1
1792/5/1 0:00,103.3,-1,-1
1792/6/1 0:00,101.7,-1,-1
1792/7/1 0:00,76.3,-1,-1
1792/8/1 0:00,100,-1,-1
1792/9/1 0:00,98.3,-1,-1
1792/10/1 0:00,98.3,-1,-1
1792/11/1 0:00,95,-1,-1
1792/12/1 0:00,93.3,-1,-1
1793/1/1 0:00,93.3,-1,-1
1793/2/1 0:00,91.7,-1,-1
1793/3/1 0:00,92.5,-1,-1
1793/4/1 0:00,88.3,-1,-1
1793/5/1 0:00,87.2,-1,-1
1793/6/1 0:00,85,-1,-1
1793/7/1 0:00,83.3,-1,-1
1793/8/1 0:00,48.8,-1,-1
1793/9/1 0:00,40,-1,-1
1793/10/1 0:00,78.3,-1,-1
1793/11/1 0:00,73.3,-1,-1
1793/12/1 0:00,76.2,-1,-1
1794/1/1 0:00,75,-1,-1
1794/2/1 0:00,73.3,-1,-1
1794/3/1 0:00,63.3,-1,-1
1794/4/1 0:00,47.3,-1,-1
1794/5/1 0:00,92.8,-1,-1
1794/6/1 0:00,69.2,-1,-1
1794/7/1 0:00,68.3,-1,-1
1794/8/1 0:00,66.7,-1,-1
1794/9/1 0:00,18.5,-1,-1
1794/10/1 0:00,47.5,-1,-1
1794/11/1 0:00,112.3,-1,-1
1794/12/1 0:00,85.7,-1,-1
1795/1/1 0:00,35.7,-1,-1
1795/2/1 0:00,66.5,-1,-1
1795/3/1 0:00,21,-1,-1
1795/4/1 0:00,31,-1,-1
1795/5/1 0:00,51.7,-1,-1
1795/6/1 0:00,28.5,-1,-1
1795/7/1 0:00,21.5,-1,-1
1795/8/1 0:00,42.8,-1,-1
1795/9/1 0:00,22.5,-1,-1
1795/10/1 0:00,32.5,-1,-1
1795/11/1 0:00,41.7,-1,-1
1795/12/1 0:00,30,-1,-1
1796/1/1 0:00,36.7,-1,-1
1796/2/1 0:00,39.7,-1,-1
1796/3/1 0:00,26.2,-1,-1
1796/4/1 0:00,52.8,-1,-1
1796/5/1 0:00,35,-1,-1
1796/6/1 0:00,11.2,-1,-1
1796/7/1 0:00,44.8,-1,-1
1796/8/1 0:00,2.5,-1,-1
1796/9/1 0:00,30.7,-1,-1
1796/10/1 0:00,18.3,-1,-1
1796/11/1 0:00,14,-1,-1
1796/12/1 0:00,8.5,-1,-1
1797/1/1 0:00,24,-1,-1
1797/2/1 0:00,7,-1,-1
1797/3/1 0:00,6.7,-1,-1
1797/4/1 0:00,6.7,-1,-1
1797/5/1 0:00,12.2,-1,-1
1797/6/1 0:00,18.5,-1,-1
1797/7/1 0:00,7.2,-1,-1
1797/8/1 0:00,10,-1,-1
1797/9/1 0:00,9.5,-1,-1
1797/10/1 0:00,11.5,-1,-1
1797/11/1 0:00,9.7,-1,-1
1797/12/1 0:00,5,-1,-1
1798/1/1 0:00,3.3,-1,-1
1798/2/1 0:00,6.7,-1,-1
1798/3/1 0:00,20.7,-1,-1
1798/4/1 0:00,1.8,-1,-1
1798/5/1 0:00,0,-1,-1
1798/6/1 0:00,0,-1,-1
1798/7/1 0:00,0,-1,-1
1798/8/1 0:00,5,-1,-1
1798/9/1 0:00,4,-1,-1
1798/10/1 0:00,2.5,-1,-1
1798/11/1 0:00,20.8,-1,-1
1798/12/1 0:00,16.5,-1,-1
1799/1/1 0:00,2.7,-1,-1
1799/2/1 0:00,21,-1,-1
1799/3/1 0:00,36.2,-1,-1
1799/4/1 0:00,14,-1,-1
1799/5/1 0:00,13.7,-1,-1
1799/6/1 0:00,17.7,-1,-1
1799/7/1 0:00,3.5,-1,-1
1799/8/1 0:00,0,-1,-1
1799/9/1 0:00,0,-1,-1
1799/10/1 0:00,7.7,-1,-1
1799/11/1 0:00,4.5,-1,-1
1799/12/1 0:00,14.3,-1,-1
1800/1/1 0:00,11.5,-1,-1
1800/2/1 0:00,15.5,-1,-1
1800/3/1 0:00,23.2,-1,-1
1800/4/1 0:00,0,-1,-1
1800/5/1 0:00,8.3,-1,-1
1800/6/1 0:00,39.5,-1,-1
1800/7/1 0:00,35,-1,-1
1800/8/1 0:00,32.5,-1,-1
1800/9/1 0:00,19.2,-1,-1
1800/10/1 0:00,20.5,-1,-1
1800/11/1 0:00,17.5,-1,-1
1800/12/1 0:00,66.8,-1,-1
1801/1/1 0:00,45,-1,-1
1801/2/1 0:00,48.3,-1,-1
1801/3/1 0:00,50,-1,-1
1801/4/1 0:00,51.7,-1,-1
1801/5/1 0:00,53.3,-1,-1
1801/6/1 0:00,52,-1,-1
1801/7/1 0:00,58.3,-1,-1
1801/8/1 0:00,64.5,-1,-1
1801/9/1 0:00,55.8,-1,-1
1801/10/1 0:00,54.3,-1,-1
1801/11/1 0:00,66.3,-1,-1
1801/12/1 0:00,80.3,-1,-1
1802/1/1 0:00,79.7,-1,-1
1802/2/1 0:00,78.3,-1,-1
1802/3/1 0:00,68,-1,-1
1802/4/1 0:00,70,-1,-1
1802/5/1 0:00,73.3,-1,-1
1802/6/1 0:00,76.7,-1,-1
1802/7/1 0:00,80,-1,-1
1802/8/1 0:00,83.3,-1,-1
1802/9/1 0:00,86.3,-1,-1
1802/10/1 0:00,64.2,-1,-1
1802/11/1 0:00,57.5,-1,-1
1802/12/1 0:00,83.3,-1,-1
1803/1/1 0:00,83.3,-1,-1
1803/2/1 0:00,84.7,-1,-1
1803/3/1 0:00,49.2,-1,-1
1803/4/1 0:00,41.7,-1,-1
1803/5/1 0:00,73.8,-1,-1
1803/6/1 0:00,60,-1,-1
1803/7/1 0:00,80.5,-1,-1
1803/8/1 0:00,56.8,-1,-1
1803/9/1 0:00,75.5,-1,-1
1803/10/1 0:00,90.5,-1,-1
1803/11/1 0:00,85,-1,-1
1803/12/1 0:00,80,-1,-1
1804/1/1 0:00,75.5,-1,-1
1804/2/1 0:00,80.5,-1,-1
1804/3/1 0:00,80,-1,-1
1804/4/1 0:00,84.3,-1,-1
1804/5/1 0:00,55.7,-1,-1
1804/6/1 0:00,58,-1,-1
1804/7/1 0:00,49.7,-1,-1
1804/8/1 0:00,71.8,-1,-1
1804/9/1 0:00,88.3,-1,-1
1804/10/1 0:00,103.8,-1,-1
1804/11/1 0:00,101.7,-1,-1
1804/12/1 0:00,100,-1,-1
1805/1/1 0:00,101.7,-1,-1
1805/2/1 0:00,73.5,-1,-1
1805/3/1 0:00,85.7,-1,-1
1805/4/1 0:00,62.5,-1,-1
1805/5/1 0:00,65,-1,-1
1805/6/1 0:00,67.5,-1,-1
